Country,Admin 1,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2012,05,7457.1001,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2012,06,7243.7998,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2012,07,7322.2002,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2012,08,7633.2998,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2012,09,7960,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2012,10,8244.4004,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2012,11,8300,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2012,12,7750,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2013,01,7350,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2013,02,7000,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2013,03,7320,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2013,04,7216.6699,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2013,05,7050,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2013,06,6810,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2013,07,7000,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2013,08,7180,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2013,09,6675,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2013,10,6975,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2013,11,7390,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2013,12,7700,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2014,01,7625,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2014,02,7622.3301,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,Dong Thap,Dong Thap,Rice,Wholesale,2014,03,7440,KG,VND,Agroinfo via FAO: GIEWS/FPMA
