system:index,Date,FracFlooded,Name,.geo
0_171,1_2005_09_22,0.026633124274330747,Kolda,
0_172,1_2005_09_30,0.027891950500305074,Kolda,
0_173,1_2005_10_08,0.028589249262813095,Kolda,
0_174,1_2005_10_16,0.029286548025319915,Kolda,
0_175,1_2005_10_24,0.030005340828246546,Kolda,
0_176,1_2005_11_01,0.03088037376819512,Kolda,
0_177,1_2005_11_09,0.03137844431284293,Kolda,
0_178,1_2005_11_17,0.03234597183612309,Kolda,
0_179,1_2005_11_25,0.0331714982735771,Kolda,
0_180,1_2005_12_03,0.03406802525394385,Kolda,
0_181,1_2005_12_11,0.034964552234310935,Kolda,
0_182,1_2005_12_19,0.035581328422399756,Kolda,
0_183,1_2005_12_27,0.036318575418801784,Kolda,
0_184,1_2006_01_01,6.494058021479387E-4,Kolda,
0_185,1_2006_01_09,0.0014425000201508276,Kolda,
0_186,1_2006_01_17,0.0019174751268200268,Kolda,
0_187,1_2006_01_25,0.0031876514857491,Kolda,
0_188,1_2006_02_02,0.0038849502482567783,Kolda,
0_189,1_2006_02_10,0.0047804617275442815,Kolda,
0_190,1_2006_02_18,0.005477572485886221,Kolda,
0_191,1_2006_02_26,0.006371965129657673,Kolda,
0_192,1_2006_03_06,0.006636164657671452,Kolda,
0_193,1_2006_03_14,0.007969128714372607,Kolda,
0_194,1_2006_03_22,0.008655295055892716,Kolda,
0_195,1_2006_03_30,0.009486768007398913,Kolda,
0_196,1_2006_04_07,0.010137097554750873,Kolda,
0_197,1_2006_04_15,0.011155737168968281,Kolda,
0_198,1_2006_04_23,0.01185327662855556,Kolda,
0_199,1_2006_05_01,0.012748187295055908,Kolda,
0_200,1_2006_05_09,0.013447343074142753,Kolda,
0_201,1_2006_05_17,0.0143414082220915,Kolda,
0_202,1_2006_05_25,0.014583965466404128,Kolda,
0_203,1_2006_06_02,0.01524119936631039,Kolda,
0_204,1_2006_06_10,0.01658340094268772,Kolda,
0_205,1_2006_06_18,0.01713052518475971,Kolda,
0_206,1_2006_06_26,0.01787649071332647,Kolda,
0_207,1_2006_07_04,0.018705594447563645,Kolda,
0_208,1_2006_07_12,0.01970178102140789,Kolda,
0_209,1_2006_07_20,0.020503894333954647,Kolda,
0_210,1_2006_07_28,0.021352940309259383,Kolda,
0_211,1_2006_08_05,0.021740082698461966,Kolda,
0_212,1_2006_08_13,0.022862799926600025,Kolda,
0_213,1_2006_08_21,0.023326027022186537,Kolda,
0_214,1_2006_08_29,0.02446871223510365,Kolda,
0_215,1_2006_09_06,0.02517402582556186,Kolda,
0_216,1_2006_09_14,0.02614412620396452,Kolda,
0_217,1_2006_09_22,0.027095037628867166,Kolda,
0_218,1_2006_09_30,0.027645480761094864,Kolda,
