,SRV_ndvi,Casamance_ndvi,OrientalAndSineSaloum_ndvi,SRV_precip,Casamance_precip,OrientalAndSineSaloum_precip
2011-07-01,2253.0275309411763,5624.244666245142,4967.162388389143,0.07842676354409193,0.2778214788521239,0.2171196415612845
2011-08-01,3319.765314315218,5973.32624433807,6218.330093340999,0.2018884861173274,0.48933663330081817,0.41708124420815385
2011-09-01,3353.4061374855787,7107.249981358687,6607.873445117763,0.12333995068035018,0.32320653613936945,0.2276119897608458
2011-10-01,2620.44425903199,6450.9168296004145,5069.5497806406365,0.015216567909750883,0.10392873146279472,0.050248698633011304
2011-11-01,2368.448301812748,6185.3221459024935,4160.866327823483,0.00025023374650994104,0.004100519668341148,0.0012658889131413847
2011-12-01,2083.159238137803,4921.759870896078,3149.9433882084995,0.00011104232501724597,0.000323899569532067,0.0003647867406368327
2012-01-01,1956.8527030117962,3946.146374755588,2676.454822467261,0.00016507916450753644,0.00020746536097085316,0.00019957822676470907
2012-02-01,1894.5431748305937,3126.0834644594684,2379.247460299087,0.0008946930086915631,0.00034248855663599024,0.0005667873189044169
2012-03-01,1823.853506174135,2874.2628251471924,2317.9102285158497,0.014695454081585032,0.0009277229692459781,0.003291751695192167
2012-04-01,1821.7903705757751,3010.986858549567,2395.1582349930886,0.003846052074241084,0.0005793081098709169,0.006035857707550159
2012-05-01,1737.3949180552927,3294.0898501815054,2641.701902933649,0.011684165930247091,0.04633737428093663,0.04275512690521794
2012-06-01,1691.890096197395,3920.8069697385527,3404.38237470755,0.035153999692605194,0.1505323163980465,0.10691057653449448
2012-07-01,2081.824558744609,5600.145648209778,5265.755606957951,0.1161295837418522,0.4967320639977241,0.2713506085258127
2012-08-01,3649.7056189313416,6095.371144084612,6226.486226407791,0.1839343813625848,0.42064270197674475,0.3154089765187623
2012-09-01,3688.6090046612544,7224.786000535045,6834.3639727061145,0.12267035054218683,0.44548966249319705,0.3572346463967442
2012-10-01,2816.969424888022,7055.93103250638,5786.5808520032115,0.015876058037326193,0.10902171976141362,0.05863648764018595
2012-11-01,2384.558350367218,6155.970254609085,4535.143776284604,0.0008739909385621302,0.025521441833249593,0.014643908188257908
2012-12-01,2274.4265247067606,5572.557825600878,3863.1731871178526,0.0016890118009492865,0.0004787941416249649,0.0006083427263625837
2013-01-01,2091.01814541989,4581.525678962798,3124.7459511327934,0.0004467044111361545,0.0037945975851455737,0.001919207733823497
2013-02-01,2015.4103870768204,3739.428842700345,2689.7010431545073,6.99123889894157e-05,0.00015731493162000201,0.000327740416013808
2013-03-01,1959.8217701753822,3494.7646340036035,2610.683301281352,0.00025907610711820467,0.00034137050641411325,0.00024281421957927918
