system:index,Date,Name,precip,.geo
1_2_11,12_01_2002,Kaolack,1.0962520282338921,
1_3_0,01_01_2003,Kaolack,0.4008972633687527,
1_3_1,02_01_2003,Kaolack,0.036800242900179615,
1_3_2,03_01_2003,Kaolack,6.278039832241927E-4,
1_3_3,04_01_2003,Kaolack,0.012939763177506166,
1_3_4,05_01_2003,Kaolack,0.7599187667682892,
1_3_5,06_01_2003,Kaolack,51.0169282384,
1_3_6,07_01_2003,Kaolack,162.2241362090515,
1_3_7,08_01_2003,Kaolack,188.78037053242966,
1_3_8,09_01_2003,Kaolack,177.89016986671075,
1_3_9,10_01_2003,Kaolack,39.597032062344496,
1_3_10,11_01_2003,Kaolack,0.3885847046426423,
1_3_11,12_01_2003,Kaolack,0.9372362214132788,
1_4_0,01_01_2004,Kaolack,0.5416422972947662,
1_4_1,02_01_2004,Kaolack,0.027538146689442787,
1_4_2,03_01_2004,Kaolack,6.643737478570875E-6,
1_4_3,04_01_2004,Kaolack,0.0325527527977798,
1_4_4,05_01_2004,Kaolack,0.6779877465049174,
1_4_5,06_01_2004,Kaolack,57.18871835342815,
1_4_6,07_01_2004,Kaolack,175.93125145314764,
1_4_7,08_01_2004,Kaolack,209.7753512914426,
1_4_8,09_01_2004,Kaolack,157.0018256696198,
1_4_9,10_01_2004,Kaolack,24.582000880217333,
1_4_10,11_01_2004,Kaolack,1.0559901938004406,
1_4_11,12_01_2004,Kaolack,0.8528280458080365,
1_5_0,01_01_2005,Kaolack,0.5097459439824911,
1_5_1,02_01_2005,Kaolack,0.03725529841593817,
1_5_2,03_01_2005,Kaolack,0.0,
1_5_3,04_01_2005,Kaolack,0.05826841936066303,
1_5_4,05_01_2005,Kaolack,1.3239513652814874,
1_5_5,06_01_2005,Kaolack,61.67258970978014,
1_5_6,07_01_2005,Kaolack,211.52476386919307,
1_5_7,08_01_2005,Kaolack,238.87596776291193,
1_5_8,09_01_2005,Kaolack,172.68018166044195,
1_5_9,10_01_2005,Kaolack,77.15594338864057,
1_5_10,11_01_2005,Kaolack,0.24361960822319703,
1_5_11,12_01_2005,Kaolack,0.8734483154612379,
1_6_0,01_01_2006,Kaolack,0.24365089429149833,
1_6_1,02_01_2006,Kaolack,0.04640093857370807,
1_6_2,03_01_2006,Kaolack,2.7262087681684445E-4,
1_6_3,04_01_2006,Kaolack,0.0,
1_6_4,05_01_2006,Kaolack,0.00951407289549665,
1_6_5,06_01_2006,Kaolack,54.86254521099077,
1_6_6,07_01_2006,Kaolack,70.55707423428176,
1_6_7,08_01_2006,Kaolack,215.23761654750814,
1_6_8,09_01_2006,Kaolack,181.56721414832074,
1_6_9,10_01_2006,Kaolack,39.79577735745748,
1_6_10,11_01_2006,Kaolack,0.0628023097631583,
1_6_11,12_01_2006,Kaolack,0.8262690228101192,
1_7_0,01_01_2007,Kaolack,0.4188111461199748,
1_7_1,02_01_2007,Kaolack,0.05565714664138415,
1_7_2,03_01_2007,Kaolack,0.00328728691373743,
1_7_3,04_01_2007,Kaolack,0.007789238134673282,
1_7_4,05_01_2007,Kaolack,0.38697789687121376,
1_7_5,06_01_2007,Kaolack,28.985496032803972,
1_7_6,07_01_2007,Kaolack,108.7518287766215,
1_7_7,08_01_2007,Kaolack,159.25164558291814,
1_7_8,09_01_2007,Kaolack,196.71228618096976,
1_7_9,10_01_2007,Kaolack,11.864915045493486,
1_7_10,11_01_2007,Kaolack,0.46599629858808256,
1_7_11,12_01_2007,Kaolack,0.6983797917330758,
1_8_0,01_01_2008,Kaolack,0.41840396431134247,
1_8_1,02_01_2008,Kaolack,0.025629438151553625,
1_8_2,03_01_2008,Kaolack,1.1999154658920835E-4,
1_8_3,04_01_2008,Kaolack,0.0,
1_8_4,05_01_2008,Kaolack,1.0717297507938954,
1_8_5,06_01_2008,Kaolack,88.66527069567441,
1_8_6,07_01_2008,Kaolack,207.83108781791603,
1_8_7,08_01_2008,Kaolack,237.32401059926673,
1_8_8,09_01_2008,Kaolack,157.85657968041352,
1_8_9,10_01_2008,Kaolack,37.271126012501874,
1_8_10,11_01_2008,Kaolack,0.04886633385717541,
1_8_11,12_01_2008,Kaolack,0.32806400203052766,
1_9_0,01_01_2009,Kaolack,0.6392903875713837,
1_9_1,02_01_2009,Kaolack,7.612748697832738E-4,
1_9_2,03_01_2009,Kaolack,1.451084248073388E-5,
1_9_3,04_01_2009,Kaolack,0.0,
1_9_4,05_01_2009,Kaolack,0.1108511658283737,
1_9_5,06_01_2009,Kaolack,45.96326877926675,
1_9_6,07_01_2009,Kaolack,185.0576725140402,
1_9_7,08_01_2009,Kaolack,326.0826993282597,
1_9_8,09_01_2009,Kaolack,186.42296371808953,
1_9_9,10_01_2009,Kaolack,16.74486512958808,
1_9_10,11_01_2009,Kaolack,1.2282931472559226,
1_9_11,12_01_2009,Kaolack,1.059044903525127,
1_10_0,01_01_2010,Kaolack,0.6354911927889845,
1_10_1,02_01_2010,Kaolack,0.03566405933484736,
1_10_2,03_01_2010,Kaolack,3.248839105034585E-8,
1_10_3,04_01_2010,Kaolack,0.007708475501609261,
1_10_4,05_01_2010,Kaolack,0.930559995978202,
1_10_5,06_01_2010,Kaolack,70.7015960666601,
1_10_6,07_01_2010,Kaolack,145.01705815848493,
1_10_7,08_01_2010,Kaolack,161.88586942413602,
1_10_8,09_01_2010,Kaolack,283.28339381330034,
1_10_9,10_01_2010,Kaolack,33.089195151842006,
1_10_10,11_01_2010,Kaolack,0.054333922528713954,
1_10_11,12_01_2010,Kaolack,0.9495921643958765,
1_11_0,01_01_2011,Kaolack,0.3586181307542314,
1_11_1,02_01_2011,Kaolack,0.023452054703381048,
1_11_2,03_01_2011,Kaolack,2.3196590553439822E-5,
1_11_3,04_01_2011,Kaolack,0.022145150276104496,
1_11_4,05_01_2011,Kaolack,0.003438511527240698,
1_11_5,06_01_2011,Kaolack,33.126122737164,
1_11_6,07_01_2011,Kaolack,78.56630860569531,
1_11_7,08_01_2011,Kaolack,224.17560289494875,
1_11_8,09_01_2011,Kaolack,119.52795132478148,
1_11_9,10_01_2011,Kaolack,27.871858488978038,
1_11_10,11_01_2011,Kaolack,1.1889263801814265,
1_11_11,12_01_2011,Kaolack,0.9226152444684632,
1_12_0,01_01_2012,Kaolack,0.3808894151562632,
1_12_1,02_01_2012,Kaolack,0.06533857481511855,
1_12_2,03_01_2012,Kaolack,4.171808056211541E-4,
1_12_3,04_01_2012,Kaolack,0.01274947953893481,
1_12_4,05_01_2012,Kaolack,0.04614448019508947,
1_12_5,06_01_2012,Kaolack,45.37507537342681,
1_12_6,07_01_2012,Kaolack,178.84926625149723,
1_12_7,08_01_2012,Kaolack,241.68712895377865,
1_12_8,09_01_2012,Kaolack,201.46077234845683,
1_12_9,10_01_2012,Kaolack,37.881059169934126,
1_12_10,11_01_2012,Kaolack,0.5898795866229495,
1_12_11,12_01_2012,Kaolack,0.9505944927086379,
1_13_0,01_01_2013,Kaolack,0.8070739572937743,
1_13_1,02_01_2013,Kaolack,0.029441829202753088,
1_13_2,03_01_2013,Kaolack,0.0015464361382640064,
1_13_3,04_01_2013,Kaolack,0.0,
1_13_4,05_01_2013,Kaolack,1.2470607103132123,
1_13_5,06_01_2013,Kaolack,29.74589888324184,
1_13_6,07_01_2013,Kaolack,77.75516311139944,
1_13_7,08_01_2013,Kaolack,264.2919022959496,
1_13_8,09_01_2013,Kaolack,110.4385516509147,
1_13_9,10_01_2013,Kaolack,45.00305653566367,
1_13_10,11_01_2013,Kaolack,0.674611976491212,
1_13_11,12_01_2013,Kaolack,0.7067101238121488,
1_14_0,01_01_2014,Kaolack,0.32763522678967777,
1_14_1,02_01_2014,Kaolack,0.016402373779517126,
1_14_2,03_01_2014,Kaolack,2.440081746649996E-4,
1_14_3,04_01_2014,Kaolack,0.0,
1_14_4,05_01_2014,Kaolack,0.6403271870970219,
1_14_5,06_01_2014,Kaolack,17.740914129672447,
1_14_6,07_01_2014,Kaolack,53.008087350898776,
1_14_7,08_01_2014,Kaolack,171.31420131554714,
1_14_8,09_01_2014,Kaolack,177.88074278374253,
1_14_9,10_01_2014,Kaolack,41.895408478754355,
1_14_10,11_01_2014,Kaolack,0.3189392962398413,
1_14_11,12_01_2014,Kaolack,0.9904145957192148,
1_15_0,01_01_2015,Kaolack,0.8667675769660373,
1_15_1,02_01_2015,Kaolack,0.0197638407680375,
1_15_2,03_01_2015,Kaolack,4.505947545974433E-4,
1_15_3,04_01_2015,Kaolack,0.01768432696916763,
1_15_4,05_01_2015,Kaolack,0.18736291943122474,
1_15_5,06_01_2015,Kaolack,7.819532981972962,
1_15_6,07_01_2015,Kaolack,138.6994410541011,
1_15_7,08_01_2015,Kaolack,230.31216082601873,
1_15_8,09_01_2015,Kaolack,263.3176149107753,
1_15_9,10_01_2015,Kaolack,56.41752434351984,
1_15_10,11_01_2015,Kaolack,1.353471473365233,
1_15_11,12_01_2015,Kaolack,1.317476203368179,
1_16_0,01_01_2016,Kaolack,0.740526457130095,
1_16_1,02_01_2016,Kaolack,0.06136840600016833,
1_16_2,03_01_2016,Kaolack,0.002050452008821177,
1_16_3,04_01_2016,Kaolack,0.007460420211489167,
1_16_4,05_01_2016,Kaolack,0.48304904719688246,
1_16_5,06_01_2016,Kaolack,15.539784531126237,
1_16_6,07_01_2016,Kaolack,167.46891097483473,
